id,rank,position,age,games,minutes played,true shooting percentage,block percentage
Lance Thomas,478,PF,29,73,1353,0.513,0.9
Klay Thompson,479,SG,27,73,2506,0.598,1.1
Tristan Thompson,480,C,26,53,1072,0.569,1.3
Sindarius Thornwell,481,SG,23,73,1156,0.519,1.8
Anthony Tolliver,482,PF,32,79,1757,0.6629999999999999,1.1
Karl-Anthony Towns,483,C,22,82,2918,0.6459999999999999,3.5
P.J. Tucker,484,PF,32,82,2281,0.537,1.0
Evan Turner,485,SF,29,79,2034,0.52,1.2
Myles Turner,486,C,21,65,1836,0.5670000000000001,5.7
Ekpe Udoh,487,C,30,63,810,0.56,7.7
Tyler Ulis,488,PG,22,71,1658,0.465,0.3
Jonas Valanciunas,489,C,25,77,1727,0.628,3.2
Denzel Valentine,490,SG,24,77,2095,0.527,0.5
Fred VanVleet,491,PG,23,76,1520,0.556,1.0
Rashad Vaughn,492,SG,21,28,212,0.546,1.2
Noah Vonleh,493,PF,22,54,875,0.509,1.6
Nikola Vucevic,494,C,27,57,1683,0.5329999999999999,3.0
Dwyane Wade,495,SG,36,67,1536,0.5,2.6
Dion Waiters,496,SG,26,30,918,0.48700000000000004,0.8
Kemba Walker,497,PG,27,80,2736,0.5720000000000001,0.7
John Wall,498,PG,27,41,1410,0.515,2.8
Tyrone Wallace,499,PG,23,30,851,0.517,1.3
Taurean Waller-Prince,500,SF,23,82,2464,0.5489999999999999,1.5
Derrick Walton,501,PG,22,16,147,0.525,1.7
Jameel Warney,502,PF,24,3,27,0.599,0.0
T.J. Warren,503,SF,24,65,2142,0.541,1.5
Travis Wear,504,SF,27,17,228,0.49700000000000005,1.8
James Webb,505,SF,24,10,120,0.33299999999999996,0.0
Briante Weber,506,PG,25,18,237,0.527,1.9
David West,507,C,37,73,999,0.6,5.9
Russell Westbrook,508,PG,29,80,2914,0.524,0.6
Andrew White,509,SF,24,15,209,0.461,0.4
Derrick White,510,PG,23,17,139,0.6459999999999999,1.8
Okaro White,511,PF,25,6,80,0.5770000000000001,1.1
Isaiah Whitehead,512,PG,22,16,180,0.53,0.8
Hassan Whiteside,513,C,28,54,1364,0.573,5.9
Andrew Wiggins,514,SF,22,82,2979,0.505,1.5
Jacob Wiley,515,PF,23,5,33,0.41,0.0
Damien Wilkins,516,SF,38,19,152,0.405,0.6
Alan Williams,517,PF,25,5,70,0.455,1.2
C.J. Williams,518,SG,27,38,707,0.512,1.5
Derrick Williams,519,PF,26,2,9,0.25,0.0
Lou Williams,520,SG,31,79,2589,0.574,0.6
Marvin Williams,521,PF,31,78,2006,0.603,1.6
Matt Williams,522,SG,24,3,11,0.41700000000000004,0.0
Troy Williams,523,SF,23,21,307,0.544,1.1
D.J. Wilson,524,PF,21,22,71,0.622,1.2
Jamil Wilson,525,SF,27,15,274,0.634,2.4
Justise Winslow,526,PF,21,68,1680,0.496,1.7
Jeff Withey,527,C,27,9,39,0.444,6.8
Nate Wolters,528,PG,26,5,19,0.16699999999999998,0.0
Brandan Wright,529,PF,30,28,381,0.596,6.4
Delon Wright,530,PG,25,69,1433,0.574,1.8
Guerschon Yabusele,531,PF,22,33,235,0.5589999999999999,1.8
James Young,532,SG,22,6,61,0.511,0.0
Joe Young,533,PG,25,53,558,0.521,0.2
Nick Young,534,SG,32,80,1393,0.562,0.4
Thaddeus Young,535,PF,29,81,2607,0.528,1.2
Cody Zeller,536,C,25,33,627,0.602,2.8
Tyler Zeller,537,C,28,66,1109,0.598,2.5
Paul Zipser,538,SF,23,54,824,0.445,1.6
Ante Zizic,539,C,21,32,214,0.746,5.2
Ivica Zubac,540,C,20,43,410,0.557,3.0
