id,rank,position,age,games,minutes played,true shooting percentage,block percentage
Wilson Chandler,95,SF,30,74,2346,0.542,1.4
Marquese Chriss,96,PF,20,72,1527,0.509,3.7
Ian Clark,97,SG,26,74,1455,0.529,0.5
Jordan Clarkson,98,SG,25,81,1888,0.542,0.3
Gian Clavell,99,SG,24,7,64,0.53,0.0
Antonius Cleveland,100,SG,23,17,123,0.486,3.6
John Collins,101,PF,20,74,1785,0.62,3.8
Zach Collins,102,C,20,66,1045,0.475,2.4
Kyle Collinsworth,103,SF,26,32,480,0.433,1.7
Darren Collison,104,PG,30,69,2018,0.61,0.7
Nick Collison,105,PF,37,15,75,0.627,0.0
Mike Conley,106,PG,30,12,373,0.52,0.8
Pat Connaughton,107,SG,25,82,1488,0.539,1.2
Quinn Cook,108,PG,24,33,740,0.593,0.1
Charles Cooke,109,SG,23,13,38,0.20199999999999999,0.0
Jack Cooley,110,PF,26,7,87,0.5660000000000001,0.0
Matt Costello,111,C,24,4,32,0.5,5.2
DeMarcus Cousins,112,C,27,48,1737,0.583,3.5
Robert Covington,113,SF,27,80,2532,0.563,2.4
Allen Crabbe,114,SG,25,75,2197,0.5579999999999999,1.2
Torrey Craig,115,SF,27,39,629,0.535,2.0
Jamal Crawford,116,SG,37,80,1653,0.519,0.5
Jordan Crawford,117,SG,29,5,53,0.601,1.5
Jae Crowder,118,SF,27,80,2090,0.525,0.9
Dante Cunningham,119,SF,30,73,1562,0.539,1.5
Stephen Curry,120,PG,29,51,1631,0.675,0.4
Troy Daniels,121,SG,26,79,1622,0.583,0.2
Anthony Davis,122,PF,24,75,2727,0.612,5.6
Deyonta Davis,123,C,21,62,943,0.621,3.9
Ed Davis,124,C,28,78,1471,0.607,2.9
Dewayne Dedmon,125,C,28,62,1542,0.599,2.8
Sam Dekker,126,PF,23,73,883,0.534,0.9
Malcolm Delaney,127,PG,28,54,1014,0.519,0.5
Matthew Dellavedova,128,PG,27,38,712,0.5,0.0
Luol Deng,129,SF,32,1,13,0.5,0.0
DeMar DeRozan,130,SG,28,80,2711,0.555,0.6
Cheick Diallo,131,PF,21,52,581,0.619,2.9
Gorgui Dieng,132,C,28,79,1333,0.5429999999999999,2.6
Spencer Dinwiddie,133,PG,24,80,2306,0.527,0.7
Tyler Dorsey,134,SG,21,56,974,0.494,0.4
Damyean Dotson,135,SG,23,44,474,0.532,0.4
Milton Doyle,136,SG,24,10,125,0.337,1.2
PJ Dozier,137,PG,21,2,3,0.5,0.0
Goran Dragic,138,PG,31,75,2378,0.5429999999999999,0.4
Larry Drew,139,PG,27,10,70,0.354,0.0
Andre Drummond,140,C,24,78,2625,0.555,4.3
Jared Dudley,141,PF,32,48,686,0.5529999999999999,1.3
Kris Dunn,142,PG,23,52,1525,0.488,1.6
Kevin Durant,143,PF,29,68,2325,0.64,4.0
Jarell Eddie,144,SF,26,3,9,0.0,0.0
Henry Ellenson,145,PF,21,38,329,0.47600000000000003,0.0
Wayne Ellington,146,SG,30,77,2041,0.588,0.3
Joel Embiid,147,C,23,63,1912,0.573,4.8
James Ennis,148,SF,27,72,1604,0.588,1.0
Tyler Ennis,149,PG,23,54,683,0.473,1.2
Jawun Evans,150,PG,21,48,778,0.42100000000000004,0.6
Jeremy Evans,151,SF,30,1,5,1.0,0.0
Tyreke Evans,152,PG,28,52,1607,0.561,1.0
Dante Exum,153,PG,22,14,235,0.5660000000000001,1.1
Kenneth Faried,154,PF,28,32,461,0.552,2.4
Derrick Favors,155,C,26,77,2153,0.593,3.2
Kay Felder,156,PG,22,16,140,0.379,0.6
Cristiano Felicio,157,C,25,55,977,0.614,1.0
Raymond Felton,158,PG,33,82,1365,0.494,1.1
Terrance Ferguson,159,SG,19,61,763,0.545,1.2
Yogi Ferrell,160,SG,24,82,2282,0.54,0.4
Dorian Finney-Smith,161,PF,24,21,448,0.48200000000000004,0.8
Bryn Forbes,162,SG,24,80,1517,0.525,0.1
Evan Fournier,163,SF,25,57,1837,0.5770000000000001,0.7
De'Aaron Fox,164,PG,20,73,2026,0.478,0.9
Tim Frazier,165,PG,27,59,838,0.475,0.7
Channing Frye,166,C,34,53,695,0.599,1.6
Markelle Fultz,167,SG,19,14,253,0.41600000000000004,1.3
Danilo Gallinari,168,SF,29,21,671,0.545,1.2
Langston Galloway,169,SG,26,58,863,0.503,0.5
Marc Gasol,170,C,33,73,2408,0.532,3.9
Pau Gasol,171,C,37,77,1812,0.539,3.6
Rudy Gay,172,PF,31,57,1231,0.545,2.6
Paul George,173,SF,27,79,2891,0.57,1.2
Marcus Georges-Hunt,174,SG,23,42,224,0.515,0.0
Jonathan Gibson,175,PG,30,4,40,0.7390000000000001,0.0
Taj Gibson,176,PF,32,82,2726,0.61,1.9
Manu Ginobili,177,SG,40,65,1299,0.5529999999999999,1.0
Rudy Gobert,178,C,25,56,1816,0.657,6.0
Aaron Gordon,179,PF,22,58,1909,0.53,1.9
Eric Gordon,180,SG,29,69,2154,0.578,1.1
Marcin Gortat,181,C,33,82,2075,0.546,2.6
Treveon Graham,182,SG,24,63,1050,0.5529999999999999,0.2
Jerami Grant,183,PF,23,81,1647,0.607,4.2
Jerian Grant,184,PG,25,74,1686,0.528,0.4
Josh Gray,185,PG,24,5,86,0.349,1.9
Danny Green,186,SG,30,70,1791,0.509,3.7
Draymond Green,187,PF,27,70,2287,0.556,3.1
Gerald Green,188,SG,32,41,929,0.5660000000000001,1.4
JaMychal Green,189,PF,27,55,1542,0.53,1.5
Jeff Green,190,PF,31,78,1828,0.5870000000000001,1.6
Blake Griffin,191,PF,28,58,1970,0.544,0.8
Daniel Hamilton,192,SG,22,6,28,0.545,0.0
Tim Hardaway,193,SG,25,57,1885,0.5329999999999999,0.5
James Harden,194,SG,28,72,2551,0.619,1.7
Maurice Harkless,195,SF,24,59,1264,0.596,2.8
Montrezl Harrell,196,C,24,76,1293,0.647,3.4
